"","Image","Name","Odds","State"
"28","http://www.usa4kids.com/images/bigflags/tennessee.gif","Will the Democratic party win the Tennessee U.S. Senate election in 2018?",0.53,"tennessee"
"29","https://az620379.vo.msecnd.net/images/Contracts/small_2a10906d-7079-479d-ba6f-883a48c3b1fb.jpg","Will Ted Cruz be re-elected to the U.S. Senate in Texas in 2018?",0.32,"texas"
"30","https://pbs.twimg.com/profile_images/964489716622966784/xbtCe2td_400x400.jpg","Will Mitt Romney be elected to the U.S. Senate in Utah in 2018?",0,"utah"
"31","https://az620379.vo.msecnd.net/images/Contracts/small_49d10eaa-56a8-4d74-bbad-4d34d0092a7a.jpg","Will Bernie Sanders be re-elected to the U.S. Senate in Vermont in 2018?",0.89,"vermont"
"32","https://pbs.twimg.com/profile_images/922472118377476096/XqCk_uDv_400x400.jpg","Will Kirsten Gillibrand be re-elected to the U.S. Senate in New York in 2018?",1,"virginia"
"33","https://pbs.twimg.com/profile_images/693192439046103041/I5UrYsCi_400x400.jpg","Will Maria Cantwell be re-elected to the U.S. Senate in Washington in 2018?",1,"washington"
"34","https://az620379.vo.msecnd.net/images/Contracts/small_53c3f60e-e332-40c8-8f91-cba68d9a3381.png","Will Joe Manchin be re-elected to the U.S. Senate in West Virginia in 2018?",0.6,"west virginia"
"35","https://az620379.vo.msecnd.net/images/Contracts/small_14069235-2fa5-47ef-ae82-926b02c8eaf9.png","Will Tammy Baldwin be re-elected to the U.S. Senate in Wisconsin in 2018?",0.76,"wisconsin"
"36","https://pbs.twimg.com/profile_images/1143907394/twitter_profile_pic_400x400.JPG","Will John Barrasso be re-elected to the U.S. Senate in Wyoming in 2018?",0,"wyoming"
"37",NA,NA,NA,"oregon"
"38",NA,NA,NA,"idaho"
"39",NA,NA,NA,"colorado"
"40",NA,NA,NA,"south dakota"
"41",NA,NA,NA,"kansas"
"42",NA,NA,NA,"oklahoma"
"43",NA,NA,NA,"iowa"
"44",NA,NA,NA,"arkansas"
"45",NA,NA,NA,"lousiana"
"46",NA,NA,NA,"illinois"
"47",NA,NA,NA,"kentucky"
"48",NA,NA,NA,"alabama"
"49",NA,NA,NA,"georgia"
"50",NA,NA,NA,"north carolina"
"51",NA,NA,NA,"south carolina"
"52",NA,NA,NA,"new hampshire"
